人民幣	人民幣 ￥ 💴
牵手	牵手 👬 👫 👭 👬🏻 👨🏻‍🤝‍👨🏼 👨🏻‍🤝‍👨🏽 👨🏻‍🤝‍👨🏾 👨🏻‍🤝‍👨🏿 👨🏼‍🤝‍👨🏻 👬🏼 👨🏼‍🤝‍👨🏽 👨🏼‍🤝‍👨🏾 👨🏼‍🤝‍👨🏿 👨🏽‍🤝‍👨🏻 👨🏽‍🤝‍👨🏼 👬🏽 👨🏽‍🤝‍👨🏾 👨🏽‍🤝‍👨🏿 👨🏾‍🤝‍👨🏻 👨🏾‍🤝‍👨🏼 👨🏾‍🤝‍👨🏽 👬🏾 👨🏾‍🤝‍👨🏿 👨🏿‍🤝‍👨🏻 👨🏿‍🤝‍👨🏼 👨🏿‍🤝‍👨🏽 👨🏿‍🤝‍👨🏾 👬🏿 👫🏻 👩🏻‍🤝‍👨🏼 👩🏻‍🤝‍👨🏽 👩🏻‍🤝‍👨🏾 👩🏻‍🤝‍👨🏿 👩🏼‍🤝‍👨🏻 👫🏼 👩🏼‍🤝‍👨🏽 👩🏼‍🤝‍👨🏾 👩🏼‍🤝‍👨🏿 👩🏽‍🤝‍👨🏻 👩🏽‍🤝‍👨🏼 👫🏽 👩🏽‍🤝‍👨🏾 👩🏽‍🤝‍👨🏿 👩🏾‍🤝‍👨🏻 👩🏾‍🤝‍👨🏼 👩🏾‍🤝‍👨🏽 👫🏾 👩🏾‍🤝‍👨🏿 👩🏿‍🤝‍👨🏻 👩🏿‍🤝‍👨🏼 👩🏿‍🤝‍👨🏽 👩🏿‍🤝‍👨🏾 👫🏿 👭🏻 👩🏻‍🤝‍👩🏼 👩🏻‍🤝‍👩🏽 👩🏻‍🤝‍👩🏾 👩🏻‍🤝‍👩🏿 👩🏼‍🤝‍👩🏻 👭🏼 👩🏼‍🤝‍👩🏽 👩🏼‍🤝‍👩🏾 👩🏼‍🤝‍👩🏿 👩🏽‍🤝‍👩🏻 👩🏽‍🤝‍👩🏼 👭🏽 👩🏽‍🤝‍👩🏾 👩🏽‍🤝‍👩🏿 👩🏾‍🤝‍👩🏻 👩🏾‍🤝‍👩🏼 👩🏾‍🤝‍👩🏽 👭🏾 👩🏾‍🤝‍👩🏿 👩🏿‍🤝‍👩🏻 👩🏿‍🤝‍👩🏼 👩🏿‍🤝‍👩🏽 👩🏿‍🤝‍👩🏾 👭🏿 🧑🏻‍🤝‍🧑🏻
铅笔	铅笔 ✏ ✏️
签	签 🏷 🏷️
签语饼	签语饼 🥠
钱	钱 💰 💸 💱 💲 💴 💵 💶 💷 ₳ ฿ ₿ ￠ ₡ ¢ ₢ ₵ ₫ € ￡ £ ₤ ₣ ƒ ₲ ₭ Ł ₦ ₱ ＄ $ ₮ ℳ ₩ ￦ ¥ ￥ ₴ ¤ ₰ ៛ ₪ ₯ ₠ ₧ ﷼ 円 元 圓 ㍐ 원 ৳ ₹ ₨ ৲ ௹ 🪙
钱包	钱包 👛 💰
钱包丢了	钱包丢了 💸
钱币	钱币 💲 🪙
钱袋	钱袋 💰 👛
钱丢了	钱丢了 💸
钱飞了	钱飞了 💸
钱夹	钱夹 👛
潜水	潜水 🤿
潜水镜	潜水镜 🥽 🤿
枪	枪 🔫
枪械	枪械 🔫
槍械	槍械 🔫
强	强 👍 👍🏻 👍🏼 👍🏽 👍🏾 👍🏿
强壮	强壮 💪 🦾 💪🏻 💪🏼 💪🏽 💪🏾 💪🏿
墙砖	墙砖 🧱
蔷薇	蔷薇 🌹
悄悄	悄悄 😷
敲打	敲打 🔨
乔治亚	乔治亚 🇬🇪
桥	桥 🌉
喬治亞共和國	喬治亞共和國 🇬🇪
巧克力饼	巧克力饼 🍪
切换输入	切换输入 🔤
切換輸入	切換輸入 🔤
亲	亲 😗 😙 😚 😽 💏 👨‍❤‍💋‍👨 👩‍❤‍💋‍👩 😘
亲爱	亲爱 😚
亲昵	亲昵 😽
亲亲	亲亲 💋 😘 😚 😽
亲吻	亲吻 💏 👨‍❤‍💋‍👨 👩‍❤‍💋‍👩 😚
亲一个	亲一个 😙 😽
亲一口	亲一口 💋 😚 😽
亲嘴	亲嘴 💏 👨‍❤‍💋‍👨 👩‍❤‍💋‍👩 💋 😙 😽
琴键	琴键 🎹
琴谱	琴谱 🎼
禽	禽 🦆 🐓 🦃 🐔 🐤 🐣 🐥 🦚
青虫	青虫 🐛
青龙	青龙 🐉
青龍	青龍 🐉
青苗	青苗 🌱
青苹果	青苹果 🍏
青蛙脸	青蛙脸 🐸
轻点	轻点 🤫
轻轨	轻轨 🚈 🚊 🚝 🚞 🚋 Ⓜ Ⓜ️
轻轨电车	轻轨电车 🚈
轻松	轻松 😉
氢弹	氢弹 ☢ ☢️
清凉	清凉 🆒
清涼	清涼 🆒
清零	清零 🆑
清零键	清零键 🆑
清零鍵	清零鍵 🆑
輕鬆	輕鬆 😉
情报	情报 🔎
情報	情報 🔎
情侣	情侣 👫 👬 👭 💑 👨‍❤‍👨 👩‍❤‍👩
情侣酒店	情侣酒店 🏩
情书	情书 💌
晴间多云	晴间多云 ⛅
晴間多雲	晴間多雲 ⛅
晴时多云	晴时多云 🌤 🌤️
请	请 💁🏻‍♀ 💁🏻‍♂ 💁🏻
请勿乱扔	请勿乱扔 🚯
請勿亂扔	請勿亂扔 🚯
庆典	庆典 🎈 🎉 🎊
庆祝	庆祝 🍾 🥳 ❇ ㊗ 🍻 🎀 🎁 🎂 🎃 🎄 🎅 🎆 🎇 🎈 🎉 🎊 🎋 🎎 🎏 🎐 🎑 🎓 🏮 🙌 🙌🏻
親暱	親暱 😽
親一口	親一口 💋 😚 😽
䲡鱼	䲡鱼 🦑
球杆	球杆 🏑 🏒
球门	球门 🥅
趋势	趋势 📈 📉 📊
曲别针	曲别针 📎 🖇 🧷
曲棍网球	曲棍网球 🥍
曲谱	曲谱 🎼
取款机	取款机 🏧
取钱	取钱 🏧
拳击	拳击 🥊
拳头	拳头 ✊ 👊 👊🏻
拳头手势	拳头手势 👊
拳頭手勢	拳頭手勢 👊
确定	确定 ✅ ☑
确认	确认 ✅
确认手势	确认手势 👌
確認手勢	確認手勢 👌
羣花	羣花 🌼
群岛	群岛 🗾
群島	群島 🗾
群花	群花 🌼
燃料	燃料 ⛽
燃料泵	燃料泵 ⛽
燃烧	燃烧 🔥
让利	让利 🈹
让人失望	让人失望 ☹ ☹️
讓利	讓利 🈹
热	热 🥵 ☀ 🔥 ☀️ 🫠
热爱	热爱 😻
热茶	热茶 🍵
热带饮品	热带饮品 🍹
热带鱼	热带鱼 🐠
热狗	热狗 🌭
热恋中	热恋中 💑 💑🏻
热气腾腾	热气腾腾 🍲
热情	热情 ❤ ❤️‍🔥
热水	热水 ♨
热汤	热汤 ♨
热饮	热饮 ☕ 🍵 ☕️
熱帶飲品	熱帶飲品 🍹
熱氣騰騰	熱氣騰騰 🍲
熱水	熱水 ♨
熱湯	熱湯 ♨
人	人 🧍 🧍‍♂ 🧍‍♀ 🧍🏻‍♂ 🧍🏼‍♂ 🧍🏽‍♂ 🧍🏾‍♂ 🧍🏿‍♂ 🧍🏻‍♀ 🧍🏼‍♀ 🧍🏽‍♀ 🧍🏾‍♀ 🧍🏿‍♀ 🧍🏻 🧍🏼 🧍🏽 🧍🏾 🧍🏿
人民币	人民币 ￥ 💴
人鱼	人鱼 🧜🏻‍♀ 🧜🏻‍♂ 🧜🏻
人造卫星	人造卫星 🛰 🛰️
认不得	认不得 😲 🤷🏻‍♀ 🤷🏻‍♂ 🤷🏻
认真	认真 🧐
日本菜	日本菜 🍥 🍣 🍱 🍙 🍘
日本国	日本国 🇯🇵
日本国旗	日本国旗 🇯🇵
日本國旗	日本國旗 🇯🇵
日本男儿节	日本男儿节 🎏
日本男兒節	日本男兒節 🎏
日本女儿节	日本女儿节 🎎
日本女兒節	日本女兒節 🎎
日本新年	日本新年 🎍
日本邮局	日本邮局 🏣
日耳曼战车	日耳曼战车 🇩🇪
日耳曼戰車	日耳曼戰車 🇩🇪
日历	日历 📅 📆 🗓
日料	日料 🍥 🍣 🍱 🍙 🍘
日期	日期 📅
日式服装	日式服装 👘
日式服裝	日式服裝 👘
日式料理	日式料理 🍥 🍣 🍱 🍙 🍘
日式人偶	日式人偶 🎎
日用	日用 🧴 🧼 🧻 🧽 💄 🪥 🪒 🪣
日语	日语 ㌀ ㌁ ㌂ ㌃ ㌄ ㌅ ㌆ ㌇ ㌈ ㌉ ㌊ ㌋ ㌌ ㌍ ㌎ ㌏ ㌐ ㌑ ㌒ ㌓ ㌔ ㌕ ㌖ ㌗ ㌘ ㌙ ㌚ ㌛ ㌜ ㌝ ㌞ ㌟ ㌠ ㌡ ㌢ ㌣ ㌤ ㌥ ㌦ ㌧ ㌨ ㌩ ㌪ ㌫ ㌬ ㌭ ㌮ ㌯ ㌰ ㌱ ㌲ ㌳ ㌴ ㌵ ㌶ ㌷ ㌸ ㌹ ㌺ ㌻ ㌼ ㌽ ㌾ ㌿ ㍀ ㍁ ㍂ ㍃ ㍄ ㍅ ㍆ ㍇ ㍈ ㍉ ㍊ ㍋ ㍌ ㍍ ㍎ ㍏ ㍐ ㍑ ㍒ ㍓ ㍔ ㍕ ㍖ ㍗
日圆	日圆 💴
日章旗	日章旗 🇯🇵
容量	容量 ㎕ ㎖ ㎗ ㎘
溶剂	溶剂 🧪
肉骨	肉骨 🍖
肉卷	肉卷 🥓
如厕	如厕 🚾
乳牛	乳牛 🐄
入场券	入场券 🎟 🎫 🎟️
软碟	软碟 💾
软盘	软盘 💾
洒水	洒水 💦
萨巴	萨巴 🇧🇶
萨尔瓦多	萨尔瓦多 🇸🇻
萨尔瓦多共和国	萨尔瓦多共和国 🇸🇻
萨克斯	萨克斯 🎷
萨克斯风	萨克斯风 🎷
萨摩亚	萨摩亚 🇼🇸
萨摩亚群岛	萨摩亚群岛 🇼🇸
薩摩亞群島	薩摩亞群島 🇼🇸
塞尔维亚	塞尔维亚 🇷🇸
塞内加尔	塞内加尔 🇸🇳
塞内加爾	塞内加爾 🇸🇳
塞舌尔	塞舌尔 🇸🇨
塞席尔	塞席尔 🇸🇨
塞著	塞著 😧
赛车	赛车 🏎 🏁 🏎️
赛车比赛	赛车比赛 🏁
赛马	赛马 🏇 🏇🏻 🏇🏼 🏇🏽 🏇🏾 🏇🏿
赛跑	赛跑 🏃
赛普勒斯	赛普勒斯 🇨🇾
赛艇	赛艇 🚣 🚤 🚣🏻‍♀ 🚣🏻‍♂ 🚣🏻
賽跑	賽跑 🏃
三点	三点 🕒
三点半	三点半 🕞
三点钟	三点钟 🕒
三点装	三点装 👙
三叶草	三叶草 ☘
三字经	三字经 人之初 性本善 性相近 习相远 苟不教 性乃迁 教之道 贵以专 昔孟母 择邻处 子不学 断机杼 窦燕山 有义方 教五子 名俱扬 养不教 父之过 教不严 师之惰 非所宜 幼不学 老何为 玉不琢 不成器 人不学 不知义 为人子 方少时 亲师友 习礼仪 香九龄 能温席 孝于亲 所当执 融四岁 能让梨 弟于长 宜先知 首孝弟 次见闻 知某数 识某文 一而十 十而百 百而千 千而万 三才者 天地人 三光者 日月星 三纲者 君臣义 父子亲 夫妇顺 曰春夏 曰秋冬 此四时 运不穷 曰南北 曰西东 此四方 应乎中 曰水火 木金土 此五行 本乎数 曰仁义 礼智信 此五常 不容紊 稻粱菽 麦黍稷 此六谷 人所食 马牛羊 鸡犬豕 此六畜 人所饲 曰喜怒 曰哀惧 爱恶欲 七情具 匏土革 木石金 丝与竹 乃八音 高曾祖 父而身 身而子 子而孙 自子孙 至玄曾 乃九族 人之伦 父子恩 夫妇从 兄则友 弟则恭 长幼序 友与朋 君则敬 臣则忠 此十义 人所同 凡训蒙 须讲究 详训诂 明句读 为学者 必有初 小学终 至四书 论语者 二十篇 群弟子 记善言 孟子者 七篇止 讲道德 说仁义 作中庸 子思笔 中不偏 庸不易 作大学 乃曾子 自脩齐 至平治 孝经通 四书熟 如六经 始可读 诗书易 礼春秋 号六经 当讲求 有连山 有归藏 有周易 三易详 有典谟 有训诰 有誓命 书之奥 我周公 作周礼 著六官 存治体 大小戴 注礼记 述圣言 礼乐备 曰国风 曰雅颂 号四诗 当讽咏 诗既亡 春秋作 寓褒贬 别善恶 三传者 有公羊 有左氏 有谷梁 经既明 方读子 撮其要 记其事 五子者 有荀杨 文中子 及老庄 经子通 读诸史 考世系 知终始 自羲农 至黄帝 号三皇 居上世 唐有虞 号二帝 相揖逊 称盛世 夏有禹 商有汤 周文武 称三王 夏传子 家天下 四百载 迁夏社 汤伐夏 国号商 六百载 至纣亡 周武王 始诛纣 八百载 最长久 周辙东 王纲坠 逞干戈 尚游说 始春秋 终战国 五霸强 七雄出 嬴秦氏 始兼并 传二世 楚汉争 高祖兴 汉业建 至孝平 王莽篡 光武兴 为东汉 四百年 终于献 魏蜀吴 争汉鼎 号三国 迄两晋 宋齐继 梁陈承 为南朝 都金陵 北元魏 分东西 宇文周 与高齐 迨至隋 一土宇 不再传 失统绪 唐高祖 起义师 除隋乱 创国基 二十传 三百载 梁灭之 国乃改 梁唐晋 及汉周 称五代 皆有由 炎宋兴 受周禅 十八传 南北混 十七史 全在兹 载治乱 知兴衰 读史者 考实录 通古今 若亲目 口而诵 心而惟 朝于斯 夕于斯 昔仲尼 师项橐 古圣贤 尚勤学 赵中令 读鲁论 彼既仕 学且勤 披蒲编 削竹简 彼无书 且知勉 头悬梁 锥刺股 彼不教 自勤苦 如囊萤 如映雪 家虽贫 学不辍 如负薪 如挂角 身虽劳 犹苦卓 蘇老泉 二十七 始发愤 读书籍 彼既老 犹悔迟 尔小生 宜早思 若梁灝 八十二 对大廷 魁多士 彼既成 众称异 宜立志 莹八岁 能咏诗 泌七岁 能赋碁 彼颖悟 人称奇 尔幼学 当效之 蔡文姬 能辨琴 谢道韫 能咏吟 彼女子 且聪敏 尔男子 当自警 唐刘晏 方七岁 举神童 作正字 彼虽幼 身己仕 勉而致 有为者 亦若是 犬守夜 鸡司晨 苟不学 曷为人 蚕吐丝 蜂酿蜜 不如物 幼而学 壮而行 上致君 下泽民 扬名声 显父母 光于前 裕于後 人遗子 金满籯 我教子 惟一经 勤有功 戏无益 戒之哉 宜勉力
伞	伞 ⛱ 🌂 ☂ ☔ 🏖
桑巴舞者	桑巴舞者 🇧🇷
扫帚	扫帚 🧹
森巴舞者	森巴舞者 🇧🇷
沙发	沙发 🛋 🛋️
沙滩	沙滩 🏖
沙滩伞	沙滩伞 ⛱
沙滩阳伞	沙滩阳伞 ⛱
沙乌地阿拉伯	沙乌地阿拉伯 🇸🇦
沙中之国	沙中之国 🇳🇪
沙中之國	沙中之國 🇳🇪
砂锅	砂锅 🥘
莎丽	莎丽 🥻
鲨	鲨 🦈
鲨鱼	鲨鱼 🦈
啥也没说	啥也没说 🙊
山地车	山地车 🚴 🚵 🚵🏻‍♀ 🚵🏻‍♂ 🚵🏻
山地单车	山地单车 🚵 🚵🏻‍♀ 🚵🏻‍♂ 🚵🏻
山地骑行	山地骑行 🚵 🚵🏻‍♀ 🚵🏻‍♂ 🚵🏻
山地自行车	山地自行车 🚵 🚵🏻‍♀ 🚵🏻‍♂ 🚵🏻
山顶缆车	山顶缆车 🚠
山峰	山峰 ⛰ ⛰️
山轨	山轨 🚞
山间日出	山间日出 🌄
山間日出	山間日出 🌄
山岭	山岭 ⛰ ⛰️
山脉	山脉 ⛰ ⛰️
山姆大叔	山姆大叔 🇺🇸
删除	删除 🆑 ⌫ ⌦
闪电	闪电 ⚡ 🌩 🌩️
闪光灯	闪光灯 📸
闪亮	闪亮 ✨
闪亮的心	闪亮的心 💖
闪亮之心	闪亮之心 💖
闪闪发光	闪闪发光 🌟
闪烁	闪烁 ✨
閃喨的心	閃喨的心 💖
扇贝	扇贝 🐚
扇貝	扇貝 🐚
伤	伤 🤕
伤了	伤了 🤕
伤心	伤心 😥 😔 😫 😩 ☹ 💔 😣 😿 ❤️‍🩹
商标	商标 ™ ℠ ® ™️
商场	商场 🏬
商贩	商贩 👲 👲🏻
商务	商务 ☎ ✉ 💱 💼 📁 📂 📃 📄 📅 📆 📇 📈 📉 📊 📋 📌 📍 📎 📏 📐 📑 📒 📓 📔 📕 📖 📗 📘 📙 📚 📛 📜 📞 📟 📤 📥 📧 📨 📪 📬 📭 🔃
商務	商務 ☎ ✉ 💱 💼 📁 📂 📃 📄 📅 📆 📇 📈 📉 📊 📋 📌 📍 📎 📏 📐 📑 📒 📓 📔 📕 📖 📗 📘 📙 📚 📛 📜 📞 📟 📤 📥 📧 📨 📪 📬 📭 🔃
上班	上班 💼
上边	上边 👆 👆🏻
上标	上标 ⁰ ¹ ² ³ ⁴ ⁵ ⁶ ⁷ ⁸ ⁹ ˜ ⁺ ⁻ ⁼ ⁽ ⁾ ᴬ ᵄ ᵅ ᶛ ᴭ ᴮ ᴯ ᵝ ᶜ ᵓ ᶝ ᴰ ᶞ ᵟ ᴱ ᴲ ᵊ ᵋ ᶟ ᵌ ᶠ ᶡ ᶲ ᵠ ᴳ ᶢ ˠ ᵞ ᴴ ᶣ ʱ ᴵ ⁱ ᶤ ᵎ ᶥ ᴶ ᶨ ᴷ ᴸ ᶫ ᶩ ᶪ ᴹ ᶬ ᵚ ᶭ ᴺ ᴻ ⁿ ᵑ ᶮ ᶯ ᴼ ᶱ ᴽ ᴾ ᴿ ʶ ʴ ʵ ˢ ᶴ ᶳ ᵀ ᶵ ᶿ ᵁ ᶶ ᶷ ᵙ ⱽ ᶺ ᶹ ᵂ ˣ ᵡ ʸ ᶻ ᶾ ᶽ ᶼ
上厕所	上厕所 🚾
上传	上传 ⏫
上傳	上傳 ⏫
上方	上方 🔝
上课	上课 👨🏻‍🏫 👩🏻‍🏫 🧑🏻‍🏫
上色	上色 🎨
上锁	上锁 🔒
上头	上头 👆 👆🏻
上下颠倒	上下颠倒 🙃
上下箭头	上下箭头 ↕
上学	上学 🎒
上學	上學 🎒
上一个	上一个 ◀
上一個	上一個 ◀
尚比亚	尚比亚 🇿🇲
烧火	烧火 🔥
烧瓶	烧瓶 ⚗ ⚗️
烧著	烧著 🔥
燒著	燒著 🔥
少儿不宜	少儿不宜 🔞
舌头	舌头 👅
蛇头	蛇头 🐍
社会主义核心价值观	社会主义核心价值观 富强、民主、文明、和谐、自由、平等、公正、法治、爱国、敬业、诚信、友善 富强 民主 文明 和谐 自由 平等 公正 法治 爱国 敬业 诚信 友善
摄氏度	摄氏度 ℃
摄像	摄像 🎦 📹
摄像机	摄像机 📹
摄影	摄影 📹
摄影机	摄影机 🎥 📹
攝影	攝影 📹
申请	申请 🈸
身分	身分 🆔
身分证	身分证 🆔 🆔️ 🪪
身体乳	身体乳 🧴
绅士	绅士 🤵🏻 🤵🏻‍♂️
什么	什么 🥴 🤔 😕 😖 😟
神马	神马 🐎 🐴
神馬	神馬 🐎 🐴
神庙	神庙 🏛 🏛️
沈睡	沈睡 💤
沈思	沈思 😔
甚么	甚么 😟
慎听	慎听 🙉
慎聽	慎聽 🙉
升级	升级 🆙
生蚝	生蚝 🦪
生化物质	生化物质 ☣ ☣️
生气	生气 😤 😡 😠 🤯 💢 🤬 👿 😾 🙎‍♂ 🙎 🙎‍♀ 🙎🏻‍♂ 🙎🏼‍♂ 🙎🏽‍♂ 🙎🏾‍♂ 🙎🏿‍♂ 🙎🏻 🙎🏼 🙎🏽 🙎🏾 🙎🏿 🙎🏻‍♀ 🙎🏼‍♀ 🙎🏽‍♀ 🙎🏾‍♀ 🙎🏿‍♀
生肖	生肖 🐭 🐮 🐯 🐰 🐲 🐍 🐴 🐏 🐵 🐔 🐶 🐷 🐁 🐀 🐂 🐃 🐄 🐅 🐆 🐇 🐈 🐉 🐊 🐋 🐌 🐎 🐐 🐑 🐒 🦃 🐓 🐕 🐖 🐗 🐘 🦬 🦧 🦍 🦮 🐕‍🦺
声	声 🈤
声调	声调 ˉ ˊ ˇ ˋ ˆ ˙ ˜ ˥ ˦ ˧ ˨ ˩ ꜀ ꜁ ꜂ ꜃ ꜄ ꜅ ꜆ ꜇
声音	声音 🔇 🔈 🔉 🔊
牲畜	牲畜 🐄 🐃 🐂 🐐 🐏 🐖 🐑 🐕 🐩 🐈 🦬 🦮 🐕‍🦺 🐈‍⬛️
省略号	省略号 ……
圣巴瑟米	圣巴瑟米 🇧🇱
圣巴泰勒米	圣巴泰勒米 🇧🇱
圣诞	圣诞 👶 👼 🎅 🤶 🧝 🧝‍♀ 🧝‍♂ 👪 🧦 🦌 🍪 🥛 🍷 🍴 ⛪ 🌟 ❄ ☃ ⛄ 🔥 🎄 🎁 🔔 🕯 🛐 ✝
圣诞岛	圣诞岛 🇨🇽
圣诞节	圣诞节 👶 👼 🎅 🤶 🧝 🧝‍♀ 🧝‍♂ 👪 🧦 🦌 🍪 🥛 🍷 🍴 ⛪ 🌟 ❄ ☃ ⛄ 🔥 🎄 🎁 🔔 🕯 🛐 ✝
圣诞老人	圣诞老人 🎅 🤶 🎅🏻 🎅🏼 🎅🏽 🎅🏾 🎅🏿 🤶🏻 🤶🏼 🤶🏽 🤶🏾 🤶🏿 🧑🏻‍🎄
圣诞老爷爷	圣诞老爷爷 🎅 🎅🏻
圣诞树	圣诞树 🎄
圣多美和普林西比	圣多美和普林西比 🇸🇹
圣多美普林西比	圣多美普林西比 🇸🇹
圣赫勒拿	圣赫勒拿 🇸🇭
圣赫伦那	圣赫伦那 🇸🇭
圣基茨和尼维斯	圣基茨和尼维斯 🇰🇳
圣克里斯多福及尼维斯	圣克里斯多福及尼维斯 🇰🇳
圣卢西亚	圣卢西亚 🇱🇨
圣露西亚	圣露西亚 🇱🇨
圣马力诺	圣马力诺 🇸🇲
圣马利诺	圣马利诺 🇸🇲
圣皮埃尔和密克隆	圣皮埃尔和密克隆 🇵🇲
圣皮耶与密克隆	圣皮耶与密克隆 🇵🇲
圣堂	圣堂 ⛪
圣誔老奶奶	圣誔老奶奶 🤶🏻
圣誔奶奶	圣誔奶奶 🤶🏻
圣文森及格瑞那丁	圣文森及格瑞那丁 🇻🇨
圣文森特	圣文森特 🇻🇨
圣文森特和格林纳丁斯	圣文森特和格林纳丁斯 🇻🇨
圣婴	圣婴 👼🏻
圣尤斯特歇斯	圣尤斯特歇斯 🇧🇶
圣佑达修斯	圣佑达修斯 🇧🇶
胜	胜 🉇
胜利	胜利 ✌ ✌🏻 ✌🏼 ✌🏽 ✌🏾 ✌🏿 🔱
聖多美及普林西比	聖多美及普林西比 🇸🇹
聖馬丁島	聖馬丁島 🇸🇽
聖誔老奶奶	聖誔老奶奶 🤶🏻
聖誔奶奶	聖誔奶奶 🤶🏻
聖文森	聖文森 🇻🇨
失恋	失恋 💔
狮	狮 🦁 𓃭
狮城	狮城 🇸🇬
狮子	狮子 🦁 𓃭
狮子狗	狮子狗 🐩
狮子山国	狮子山国 🇸🇱
狮子头	狮子头 🦁
狮子座	狮子座 ♌ ♌️
獅城	獅城 🇸🇬
獅子狗	獅子狗 🐩
十点	十点 🕙
十点半	十点半 🕥
十点钟	十点钟 🕙
十二点	十二点 🕛
十二点半	十二点半 🕧
十二点钟	十二点钟 🕛
十一点	十一点 🕚
十一点半	十一点半 🕦
十一点钟	十一点钟 🕚
十字镐	十字镐 ⛏ ⛏️
石雕	石雕 🗿
石头	石头 ✊ 🪨
时计	时计 ⏲ ⏲️
时间	时间 ⌚ ⌛ 🕐 🕑 🕒 🕓 🕔 🕕 🕖 🕗 🕘 🕙 🕚 🕛
识别卡	识别卡 📛
实验服	实验服 🥼
食盐	食盐 🧂
時間	時間 ⌚ ⌛ 🕐 🕑 🕒 🕓 🕔 🕕 🕖 🕗 🕘 🕙 🕚 🕛
史瓦济兰	史瓦济兰 🇸🇿
使眼色	使眼色 😉 😜
始业式	始业式 🎒
始業式	始業式 🎒
士多店	士多店 🏪
示爱	示爱 😘
示愛	示愛 😘
世界地图	世界地图 🗺
仕女帽	仕女帽 👒
势利	势利 🤑
饰以丝带的心	饰以丝带的心 💝
试管	试管 🧪
试剂	试剂 🧪
视频游戏	视频游戏 🎮
是吗	是吗 😳
适合	适合 🈴
視頻游戲	視頻游戲 🎮
释然	释然 😌
適合	適合 🈴
收费服务	收费服务 🈂 🈂️
收件箱托盘	收件箱托盘 📥
收件箱托盤	收件箱托盤 📥
收据	收据 🧾
收讯	收讯 📶
收訊	收訊 📶
收益	收益 🉐
收益报表	收益报表 📈
收益報表	收益報表 📈
收音机	收音机 📻
收邮件	收邮件 📩
手表	手表 ⌚ ⌚️
手电	手电 🔦
手电筒	手电筒 🔦
手机	手机 📱 📲
手机关机	手机关机 📴
手枪	手枪 🔫
手势	手势 👈 👉 ☝ 👆 👇 🖕 👈🏻 👈🏼 👈🏽 👈🏾 👈🏿 👉🏻 👉🏼 👉🏽 👉🏾 👉🏿 ☝🏻 ☝🏼 ☝🏽 ☝🏾 ☝🏿 👆🏻 👆🏼 👆🏽 👆🏾 👆🏿 👇🏻 👇🏼 👇🏽 👇🏾 👇🏿 🖕🏻 🖕🏼 🖕🏽 🖕🏾 🖕🏿 ✊ ✋ ✌ 👊 👋 👌 👍 👎 👏 👐 🙌 🙏
手勢	手勢 ☝ ✊ ✋ ✌ 👆 👇 👈 👉 👊 👋 👌 👍 👎 👏 👐 🙌 🙏
手推车	手推车 🛒
手写	手写 ✍ ✍🏻 ✍🏻️
手纸	手纸 🧻
守卫	守卫 💂 💂🏻‍♀ 💂🏻‍♂ 💂🏻
首饰	首饰 💍
首飾	首飾 💍
寿司	寿司 🍣
受伤	受伤 🤕 🩸 ❤️‍🩹
受伤了	受伤了 🤕
书	书 📕 📖 📗 📘 📙 📚
书包	书包 🎒
书本	书本 📖 📚
书呆子	书呆子 🤓
书籍	书籍 📚
书签	书签 📑 🔖
书签标签	书签标签 📑
书写	书写 ✍ ✍🏻 ✍🏻️
書簽	書簽 📑 🔖
書簽標簽	書簽標簽 📑
熟睡	熟睡 💤
属狗	属狗 🐶
属猴	属猴 🐵
属虎	属虎 🐯
属鸡	属鸡 🐔
属龙	属龙 🐲
属马	属马 🐴
属猫	属猫 🐱
属牛	属牛 🐮
属蛇	属蛇 🐍
属鼠	属鼠 🐭
属兔	属兔 🐰
属于	属于 ∈ ∉ ∊ ∋ ∌ ∍
属猪	属猪 🐷
鼠标	鼠标 🖱 🖲 🖱️
鼠脸	鼠脸 🐭
鼠头	鼠头 🐭
薯条	薯条 🍟
树	树 🌳 🌴 🌲
树袋熊	树袋熊 🐨
树懒	树懒 🦥
树苗	树苗 🌱
树木	树木 🌲
树枝	树枝 🌿
竖	竖 丨
竖拇指	竖拇指 👍
竖起拇指	竖起拇指 👍
竖中指	竖中指 🖕 🖕🏻
竪拇指	竪拇指 👍
竪起拇指	竪起拇指 👍
数码	数码 ⌚ 📱 💻 ⌨ 🖥 🖨 🖱 📷 📹 💾 💽 💿 📀 ⌚️ ⌨️
数码光碟	数码光碟 📀
数码光盘	数码光盘 📀
